if_buy,then_likely_buy,support,confidence,lift,promotion_suggestion,expected_gmv_increase
['智能手表'],['游戏机'],0.0187,0.3120827770360481,5.160952158691055,当顾客购买 智能手表 时，推荐 游戏机,416.10%
['游戏机'],['智能手表'],0.0187,0.309244253348768,5.160952158691054,当顾客购买 游戏机 时，推荐 智能手表,416.10%
['枕头'],['餐具'],0.01819,0.30571428571428577,5.14497283262009,当顾客购买 枕头 时，推荐 餐具,414.50%
['餐具'],['枕头'],0.01819,0.3061258835408953,5.144972832620089,当顾客购买 餐具 时，推荐 枕头,414.50%
['水果'],['零食'],0.01838,0.30838926174496645,5.134686342740034,当顾客购买 水果 时，推荐 零食,413.47%
['零食'],['水果'],0.01838,0.30602730602730605,5.134686342740034,当顾客购买 零食 时，推荐 水果,413.47%
['电视'],['耳机'],0.0183,0.305,5.126050420168068,当顾客购买 电视 时，推荐 耳机,412.61%
['耳机'],['电视'],0.0183,0.30756302521008405,5.126050420168068,当顾客购买 耳机 时，推荐 电视,412.61%
['零食'],['面包'],0.01832,0.305028305028305,5.124803511900286,当顾客购买 零食 时，推荐 面包,412.48%
['面包'],['零食'],0.01832,0.30779569892473113,5.124803511900285,当顾客购买 面包 时，推荐 零食,412.48%
